Player,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,,,,
"Mitchell, Tom",17,172,52,257,2,1, ,75,20,18,88.3,,,,
"Worpel, James",15,167,39,120,2,7, ,81,11,18,81.1,,,,
"Shiels, Liam",16,162,46,124,6, , ,55,10,18,79.0,,,,
"Wingard, Chad",17,145,49,106,18,11, ,61,14,8,85.6,,,,
"OMeara, Jaeger",12,140,35,110,4,4, ,50,6,23,84.4,,,,
"Hardwick, Blake",16,139,45,67,1, , ,21,2,7,82.8,,,,
"Scrimshaw, Jack",13,121,51,82, , , ,23,7,7,76.0,,,,
"Sicily, James",11,146,62,50,2,1, ,9,12,7,91.8,,,,
"Scully, Tom",14,104,34,86,4,2, ,16,4,10,87.8,,,,
"Gunston, Jack",16,133,68,48,31,21, ,22,10,9,88.6,,,,
"Smith, Isaac",10,100,35,73,5,2, ,21,2,7,82.2,,,,
"Day, Will",11,100,48,72,1,1, ,15,10,3,82.7,,,,
"Frost, Sam",16,96,55,68, ,2, ,20,9,16,87.4,,,,
"Morrison, Harry",11,92,38,64, ,1, ,19,5,8,80.3,,,,
"Breust, Luke",13,77,24,64,16,6, ,51,14,13,80.8,,,,
"McEvoy, Ben",16,69,51,72,4,1,161,31,10,8,82.3,,,,
"Burgoyne, Shaun",13,77,26,62,11,2, ,32,3,13,78.2,,,,
"Ceglar, Jonathon",13,55,29,82,1, ,274,32,14,19,73.8,,,,
"Frawley, James",14,77,41,45, , , ,10,6,14,87.9,,,,
"Stratton, Ben",14,66,41,55,1, , ,17,7,13,91.6,,,,
"Cousins, James",6,60,20,57,1,3, ,16,5,7,77.7,,,,
"OBrien, Tim",16,82,47,34,12,3,34,28,13,12,82.0,,,,
"Henderson, Ricky",7,55,37,50, , , ,11,3,1,77.1,,,,
"Hanrahan, Oliver",7,44,10,31,3,4, ,7,5,4,71.4,,,,
"Puopolo, Paul",6,27,7,27,4,1, ,15,6,2,72.5,,,,
"Howe, Daniel",5,36,16,17,2, , ,5,3,1,80.2,,,,
"Greaves, Damon",3,35,17,17, , , ,5,1, ,82.3,,,,
"Jiath, Changkuoth",5,27,13,21, , , ,8,1,5,75.0,,,,
"Impey, Jarman",5,22,13,24,2,3, ,9,1,5,75.4,,,,
"Lewis, Mitch",8,28,15,18,5,5,15,5,3,5,75.1,,,,
"Glass, Conor",4,26,13,16,1, , ,10, ,1,76.0,,,,
"Moore, Dylan",3,18,14,22,2,1, ,5,2, ,80.0,,,,
"Minchington, Darren",4,24,6,15,2,2, ,5,1,1,76.8,,,,
"Patton, Jonathon",6,18,11,11,3,2,5,4,4,6,62.3,,,,
"Hartley, Michael",2,20,3,8, , , ,5,1,2,98.5,,,,
"Morris, Josh",4,14,5,9,1,2, ,6,1,2,67.8,,,,
"Nash, Conor",2,11,5,5, ,1, , , ,1,78.5,,,,
"Jones, Harry",1,3,1,8, , , ,4,1,3,76.0,,,,
"Maginness, Finn",1,2, ,8, , , ,5, ,1,77.0,,,,
"Brooksby, Keegan",1,4, ,1, , ,10,2,3,2,53.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Oliver, Clayton",17,195,57,230,3,1, ,92,22,22,83.5,,,,
"Petracca, Christian",17,201,58,199,15,14, ,55,18,16,89.9,,,,
"Langdon, Ed",17,216,88,125,2,8, ,22,6,12,91.4,,,,
"Viney, Jack",16,166,40,152,5,4, ,67,28,15,80.2,,,,
"Salem, Christian",16,200,64,101,2, , ,41,4,11,86.4,,,,
"May, Steven",17,210,76,62,1, , ,14,9,4,94.6,,,,
"Brayshaw, Angus",14,116,40,117,5,6, ,41,4,7,74.7,,,,
"Gawn, Max",14,142,63,80,1,1,458,35,32,9,92.6,,,,
"Hibberd, Michael",14,135,62,79,1, , ,14,13,6,81.5,,,,
"Harmes, James",13,87,30,105,2,2, ,27,8,15,76.4,,,,
"Lever, Jake",17,121,75,57, , , ,25,11,9,94.9,,,,
"Fritsch, Bayley",16,128,81,48,22,24, ,17,10,10,81.8,,,,
"Tomlinson, Adam",13,106,56,56, ,1,1,22,2,6,88.9,,,,
"Melksham, Jake",17,110,49,50,15,8, ,23,11,13,84.2,,,,
"Vandenberg, Aaron",12,73,34,69,1,1, ,31,8,14,69.8,,,,
"Rivers, Trent",9,75,28,48,2,2, ,13,11,4,79.0,,,,
"Pickett, Kysaiah",14,62,17,47,7,13, ,35,5,18,75.6,,,,
"Jones, Nathan",8,50,23,54,1,3, ,13,4,1,72.5,,,,
"Weideman, Sam",13,59,41,41,19,8, ,6,7,8,88.8,,,,
"Lockhart, Jay",10,55,28,33, ,2, ,19,2,5,73.1,,,,
"McDonald, Tom",9,50,29,27,7,1,16,15,8,6,78.9,,,,
"Hannan, Mitch",9,41,21,31,7,3, ,15,8,6,69.6,,,,
"McDonald, Oscar",7,42,17,27, , ,1,8,1,5,92.6,,,,
"Spargo, Charlie",8,38,19,27,8,1, ,12,3,7,70.1,,,,
"Neal-Bullen, Alex",7,36,14,27,7, , ,16,1,5,71.3,,,,
"Brown, Mitch",5,39,30,18,2,3,3,6, ,2,84.8,,,,
"Sparrow, Tom",5,26,9,30,2,1, ,13,3,5,61.8,,,,
"Bennell, Harley",5,26,7,28,3,2, ,5,1,2,68.4,,,,
"Jackson, Luke",6,19,9,33,3,2,29,8,7,3,75.3,,,,
"Baker, Oskar",3,30,8,11,2, , ,5,3,3,68.7,,,,
"Smith, Joel",7,23,9,15, , , ,10,3,6,86.0,,,,
"Jetta, Neville",6,14,6,23, , , ,8,5,6,69.0,,,,
"Hunt, Jayden",6,27,10,8,10,2, ,7,4,2,71.3,,,,
"Wagner, Josh",2,14,5,11, , , ,3,1,1,64.5,,,,
"Preuss, Braydon",3,16,6,7, , ,64,1,5,1,71.7,,,,
"Bedford, Toby",2,6,3,10, ,1, ,4, ,3,61.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Higgins, Shaun",17,186,63,177,4,1, ,50,14,15,84.7,,,,
"McDonald, Luke",17,209,68,135, , , ,44,7,17,90.9,,,,
"Simpkin, Jy",17,171,37,173,6,5, ,63,21,27,77.4,,,,
"Dumont, Trent",17,176,52,166,3,4, ,76,18,8,82.4,,,,
"Anderson, Jed",15,177,41,138,3,4, ,75,21,8,70.3,,,,
"Atley, Shaun",17,132,57,136,1, , ,25,9,9,87.9,,,,
"Goldstein, Todd",17,105,33,149,6,6,472,35,38,17,92.1,,,,
"Polec, Jared",13,162,42,88,3,3, ,34,12,8,87.5,,,,
"Tarrant, Robbie",16,178,68,72, , , ,21,14,15,91.3,,,,
"Hall, Aaron",15,134,47,85,10,14, ,37,6,8,80.9,,,,
"Walker, Josh",17,107,65,75,3,3,2,19,11,10,85.2,,,,
"Davies-Uniacke, Luke",9,73,19,83,2, , ,21,6,12,74.1,,,,
"Zurhaar, Cameron",16,102,46,54,18,11,1,38,18,17,85.8,,,,
"Pittard, Jasper",11,105,33,50,4, , ,17,13,4,87.4,,,,
"Scott, Bailey",13,81,39,57,8,1, ,29,6,9,81.8,,,,
"Macmillan, Jamie",10,67,27,58,1, , ,23,15,6,77.3,,,,
"McKay, Ben",11,43,36,59, , ,2,18,7,6,90.6,,,,
"Williams, Marley",8,69,22,29, ,1, ,13,4,6,77.5,,,,
"Taylor, Curtis",9,51,32,41,5,2, ,14,7,4,82.9,,,,
"Mahony, Jack",10,28,12,56,3,2, ,26,9,5,74.6,,,,
"Hayden, Kyron",8,38,22,41, , , ,12,3,7,74.6,,,,
"Vickers-Willis, Ed",6,40,18,32, , , ,12,4,4,81.3,,,,
"Wood, Mason",8,38,22,32,3,2, ,10,4,4,81.8,,,,
"Ahern, Paul",6,35,13,28,1,1, ,7,3,1,59.0,,,,
"Ziebell, Jack",8,38,25,25,1,7, ,16,3,6,70.4,,,,
"Brown, Ben",9,49,31,13,8,8,4,6,6,3,88.6,,,,
"Larkey, Nick",10,41,23,21,14,4, ,10,10,8,86.8,,,,
"Bonar, Aiden",6,24,10,29, , , ,11,4,3,70.2,,,,
"Cunnington, Ben",3,18,6,35,2, ,1,12,3,2,74.0,,,,
"Murphy, Tom",5,28,16,19,1,2, ,8,1, ,72.4,,,,
"Thomas, Tarryn",6,24,8,23,3,2, ,19,1,2,63.8,,,,
"Hosie, Lachlan",5,24,12,15,3,1, ,4,4,2,75.0,,,,
"Daw, Majak",4,17,9,18,3,1,23,8,3,3,74.5,,,,
"Perez, Flynn",3,15,7,13, , , ,8,1,2,78.7,,,,
"Walker, Will",2,12,4,14, , , ,7, ,3,77.5,,,,
"Garner, Taylor",2,8,5,13,1, , ,5,1,3,74.5,,,,
"Durdin, Sam",3,11,8,9, ,1, ,2,2,2,82.0,,,,
"Xerri, Tristan",4,13,5,6,4, ,9,8,4,7,85.3,,,,
"Campbell, Tom",1,3,1,2, , ,2, , , ,73.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Boak, Travis",19,217,51,219,8,8, ,72,13,7,77.5,,,,
"Wines, Ollie",17,177,30,194,8,5, ,64,23,10,71.9,,,,
"Rockliff, Tom",16,191,36,174,4,3, ,100,19,10,78.9,,,,
"Byrne-Jones, Darcy",19,204,64,117, ,2, ,34,17,7,83.6,,,,
"Gray, Robbie",19,127,40,188,15,7, ,57,12,19,86.9,,,,
"Amon, Karl",19,199,58,107,5,8, ,55,8,15,84.9,,,,
"Houston, Dan",17,211,71,82,1,3, ,49,17,7,83.0,,,,
"Hartlett, Hamish",19,174,69,107,2,1, ,53,16,11,82.5,,,,
"Powell-Pepper, Sam",19,123,36,157,7,12, ,77,9,23,73.7,,,,
"Butters, Zak",17,129,55,119,11,6, ,47,12,9,83.5,,,,
"Ebert, Brad",14,131,52,76,11,14, ,55,16,9,81.9,,,,
"Jonas, Tom",19,138,76,68, ,1, ,30,7,14,93.4,,,,
"Rozee, Connor",16,106,40,100,9,9, ,52,6,10,83.2,,,,
"Duursma, Xavier",15,114,52,83,7,3, ,36,16,7,78.6,,,,
"McKenzie, Trent",17,169,75,28, ,2, ,18,14,10,89.8,,,,
"Clurey, Tom",18,135,78,40, , , ,18,13,13,89.3,,,,
"Dixon, Charlie",18,110,69,60,34,21,46,30,18,14,94.3,,,,
"Lycett, Scott",15,76,19,89,2,3,352,39,25,12,79.7,,,,
"Motlop, Steven",14,84,33,65,13,2, ,24,4,11,72.6,,,,
"Ladhams, Peter",10,60,21,72,6,2,124,19,17,22,82.0,,,,
"Bonner, Riley",9,97,33,25, , , ,7,1,8,79.1,,,,
"Westhoff, Justin",12,77,45,45,10,7,42,26,8,8,82.9,,,,
"Marshall, Todd",14,84,41,27,11,9,3,35,10,5,76.1,,,,
"Farrell, Kane",11,56,21,46,6,9, ,30,2,2,80.2,,,,
"Burton, Ryan",8,74,30,27, ,1, ,8, ,2,63.9,,,,
"Mayes, Sam",6,50,20,32,1,2, ,17,5,3,83.3,,,,
"Lienert, Jarrod",5,46,10,17, , , ,6,3, ,82.0,,,,
"Georgiades, Mitch",7,39,20,19,8,6, ,14,11,5,76.7,,,,
"Woodcock, Boyd",5,28,12,24,3,3, ,8,2,2,73.8,,,,
"Sutcliffe, Cam",4,18,3,14,1,2, ,6,1, ,69.3,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Martin, Dustin",20,251,52,162,22,11,1,46,13,22,89.2,,,,
"Short, Jayden",21,297,114,103, ,4, ,27,11,8,79.2,,,,
"Lambert, Kane",20,137,61,175,10,3, ,68,11,14,83.7,,,,
"Cotchin, Trent",17,176,39,135,1,3, ,55,14,18,72.6,,,,
"Bolton, Shai",19,181,58,120,15,11, ,54,11,22,82.7,,,,
"Baker, Liam",20,166,73,131,1,1, ,39,18,13,77.3,,,,
"Vlastuin, Nick",20,179,95,94,1, , ,42,14,19,84.7,,,,
"McIntosh, Kamdyn",18,165,68,79,6,4, ,30,9,11,82.1,,,,
"Houli, Bachar",13,131,48,111, ,1, ,28,6,7,80.0,,,,
"Graham, Jack",16,110,31,130,2,2, ,72,15,19,78.9,,,,
"Castagna, Jason",21,142,71,96,17,12, ,46,8,8,84.4,,,,
"Pickett, Marlion",19,119,43,113,4,4, ,69,7,13,79.5,,,,
"Grimes, Dylan",20,126,79,71, ,1, ,35,15,12,91.8,,,,
"Rioli, Daniel",18,102,47,94,12,3, ,57,13,8,81.0,,,,
"Balta, Noah",17,132,65,52,1,1,3,16,11,16,94.5,,,,
"Prestia, Dion",9,85,12,91,4, , ,35,8,12,78.8,,,,
"Broad, Nathan",16,128,65,47, , ,1,28,6,7,92.3,,,,
"Riewoldt, Jack",21,136,75,37,33,20,2,27,14,15,92.1,,,,
"Edwards, Shane",10,78,10,94,5,1, ,27,8,6,79.9,,,,
"Lynch, Tom",19,121,67,51,32,27,2,23,17,26,89.9,,,,
"Higgins, Jack",10,89,36,56,5,7, ,17,16,6,82.3,,,,
"Aarts, Jake",14,71,31,64,14,5, ,33,8,18,79.6,,,,
"Nankervis, Toby",11,62,26,64,3,1,186,45,13,17,70.3,,,,
"Astbury, David",9,73,39,38, , ,3,17,8,6,86.7,,,,
"Soldo, Ivan",14,52,23,56,2,3,292,38,17,21,67.5,,,,
"Caddy, Josh",8,56,32,44,2,2,1,14, ,5,75.9,,,,
"Ross, Jack",7,48,14,45, , , ,20,5,2,71.6,,,,
"Stack, Sydney",9,30,15,62,2,2, ,26,5,15,70.1,,,,
"Eggmolesse-Smith, Derek",6,53,15,24, , , ,13,3,8,70.5,,,,
"Markov, Oleg",6,47,16,21, ,1, ,6,6,2,80.5,,,,
"Chol, Mabior",11,39,15,27,8,3,66,17,3,7,64.5,,,,
"Dow, Thomson",2,2,2,14, , , ,4, ,1,75.5,,,,
"Naish, Patrick",1,3, ,6, , , ,3,1, ,86.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Steele, Jack",19,204,72,213,11,2, ,104,25,13,85.5,,,,
"Billings, Jack",19,205,78,147,11,6, ,47,13,6,86.1,,,,
"Clark, Hunter",18,188,64,122,1,1, ,46,13,20,81.7,,,,
"Jones, Zak",16,157,47,147,5,8, ,57,14,15,78.3,,,,
"Hill, Bradley",19,201,63,92,2,3, ,27,5,12,84.3,,,,
"Ross, Sebastian",16,146,29,141,2,2, ,45,7,17,80.6,,,,
"Coffield, Nick",18,181,117,93, , , ,18,7,8,85.0,,,,
"Marshall, Rowan",19,192,83,74,13,11,277,41,30,24,85.5,,,,
"Wilkie, Callum",19,178,61,62, , , ,22,12,11,88.3,,,,
"Paton, Ben",19,145,82,92, , , ,20,15,9,77.3,,,,
"Butler, Dan",19,156,37,51,29,12, ,74,14,15,87.2,,,,
"Howard, Dougal",19,159,76,38,1,1,3,23,9,17,92.2,,,,
"Gresham, Jade",11,111,25,83,7,6, ,21,10,13,76.6,,,,
"Long, Ben",15,90,49,94, ,1, ,30,12,20,82.5,,,,
"Membrey, Tim",18,129,83,55,20,9,3,27,11,9,87.0,,,,
"Sinclair, Jack",12,98,30,73, ,1, ,30,6,3,78.3,,,,
"Geary, Jarryn",16,83,48,83,5,1, ,28,6,11,80.3,,,,
"Carlisle, Jake",13,107,73,39, , ,9,17,8,4,90.2,,,,
"Battle, Josh",14,108,52,34,12,9,6,26,10,8,70.4,,,,
"Kent, Dean",15,96,48,46,10,5, ,29,9,6,76.7,,,,
"Hannebery, Dan",8,67,19,74,1,2, ,13,2,5,68.8,,,,
"King, Max",18,84,57,53,22,20,17,22,10,12,85.1,,,,
"Lonie, Jack",13,95,44,36,12,7, ,28,10,5,81.5,,,,
"Ryder, Paddy",14,79,29,34,10,2,293,35,16,13,72.6,,,,
"Hind, Nick",10,56,17,42,6,5, ,28,6,11,73.1,,,,
"Marsh, Jonathon",6,28,10,25,2,5,2,14,4,2,77.8,,,,
"Phillips, Ed",4,28,16,22,3, , ,4,2,2,76.3,,,,
"Bytel, Jack",3,9,3,30, , , ,8,3,4,67.0,,,,
"Savage, Shane",2,26,8,5,1,2, ,4, , ,80.5,,,,
"Dunstan, Luke",1,13,3,8, , , ,9, , ,81.0,,,,
"Parker, Matthew",2,8,1,5, ,2, ,5,2,2,73.5,,,,
"Roberton, Dylan",1,7,1,1, , , , , ,2,82.0,,,,
"Byrnes, Ryan",1,2, ,3, , , ,2,1, ,62.0,,,,
"Abbott, Ryan",1,2,2,1,1, ,2, , , ,54.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Lloyd, Jake",17,284,81,155,1, , ,37,11,5,88.9,,,,
"Parker, Luke",17,190,54,187,6,5, ,84,22,21,86.3,,,,
"Florent, Oliver",17,180,40,98,4,4, ,43,7,13,81.6,,,,
"Mills, Callum",15,164,77,107, ,1, ,49,18,15,89.3,,,,
"Dawson, Jordan",16,183,60,77,6,7, ,38,13,10,84.0,,,,
"Cunningham, Harry",17,157,59,96, ,1, ,38,10,5,84.6,,,,
"Kennedy, Josh",12,129,34,119,3,3, ,62,12,8,73.3,,,,
"Rowbottom, James",16,132,22,105,4,4, ,58,17,17,76.9,,,,
"Papley, Tom",17,148,57,52,26,27, ,29,19,16,88.8,,,,
"Clarke, Ryan",10,86,25,79,2,1, ,25,10,5,89.3,,,,
"Blakey, Nick",16,126,36,36,8,13, ,36,15,8,76.0,,,,
"Hayward, Will",16,87,54,74,10,3, ,37,11,12,84.3,,,,
"Rampe, Dane",11,105,42,56, , , ,15,9,15,94.4,,,,
"Fox, Robbie",14,86,30,58, , , ,37,10,9,88.6,,,,
"Aliir, Aliir",14,78,45,57,3,1,66,22,4,14,80.5,,,,
"McInerney, Justin",9,60,26,65,5, , ,13,8,8,81.8,,,,
"McCartin, Tom",14,70,51,49,9,2,3,12,9,13,83.3,,,,
"Sinclair, Callum",13,64,32,55,3,3,293,33,15,24,81.2,,,,
"Thurlow, Jackson",8,65,27,42,3,2, ,17,4,2,77.5,,,,
"Stephens, Dylan",8,68,27,32,2,3, ,26,6,6,80.4,,,,
"Melican, Lewis",9,52,21,37, , , ,14,6,6,84.7,,,,
"Heeney, Isaac",6,53,29,33,7,7, ,15,6,1,87.7,,,,
"Reid, Sam",10,43,38,41,5,6,26,15,3,2,82.5,,,,
"Hewett, George",6,29,11,54,1, , ,19,2,3,80.7,,,,
"Taylor, Lewis",9,51,22,27,6,5, ,20,4,1,67.9,,,,
"ORiordan, Colin",8,39,20,37, , , ,13,3,5,69.5,,,,
"Gray, Sam",7,38,15,37,1,2, ,15,4,1,78.7,,,,
"Bell, James",8,37,13,32,3,2, ,28,7,8,69.8,,,,
"Wicks, Sam",7,31,15,27,3,1, ,32,5,8,77.0,,,,
"McLean, Hayden",6,24,13,14,5,1,14,15,1,5,78.7,,,,
"Taylor, Elijah",4,17,4,14,1,1, ,2,5,2,68.3,,,,
"Ronke, Ben",3,19,6,10, , , ,11,2,3,71.3,,,,
"Ling, Matt",3,20,5,6, , , ,2,1,3,73.0,,,,
"Stoddart, Ryley",2,16,4,10, , , ,3,3, ,71.5,,,,
"Naismith, Sam",2,15,5,4, , ,53,9,3,2,73.5,,,,
"Brand, Kaiden",2,10,7,8, , , ,3,2, ,87.0,,,,
"Foot, Zac",2,7,6,7,1, , ,4,1,2,71.5,,,,
"Warner, Chad",2,9,3,5, , , ,3,2,2,77.0,,,,
"Amartey, Joel",1,3, , , , ,8,2,1,2,59.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Gaff, Andrew",18,251,81,186,5,4, ,42,15,7,95.4,,,,
"Kelly, Tim",18,208,46,153,5,4, ,75,10,15,83.8,,,,
"Sheed, Dom",17,172,55,164,8,3, ,40,14,16,80.2,,,,
"Sheppard, Brad",18,194,112,92,2, , ,34,14,7,94.9,,,,
"Duggan, Liam",17,211,98,70, ,2, ,31,8,8,86.9,,,,
"Hurn, Shannon",17,205,87,66, , , ,26,7,7,81.0,,,,
"Shuey, Luke",13,144,33,102,1,1, ,45,11,14,69.5,,,,
"Nelson, Jackson",15,150,61,54, , , ,31,7,6,83.3,,,,
"Redden, Jack",13,98,44,106,1,1, ,31,12,8,81.8,,,,
"Ryan, Liam",18,140,66,54,26,16, ,32,13,7,85.4,,,,
"Naitanui, Nic",17,109,13,83,5,4,496,40,21,19,69.5,,,,
"Yeo, Elliot",10,107,22,85, ,1, ,56,5,25,80.4,,,,
"Barrass, Tom",18,144,94,37, , , ,4,12,8,89.9,,,,
"Darling, Jack",18,112,64,57,30,12,8,35,20,9,96.2,,,,
"Cripps, Jamie",14,94,36,73,9,7, ,45,9,9,88.5,,,,
"Cole, Tom",15,95,48,62,3, , ,30,14,7,82.7,,,,
"McGovern, Jeremy",12,114,72,43, , , ,14,9,9,78.4,,,,
"Ah Chee, Brendon",16,77,36,78,6,5, ,26,9,6,77.6,,,,
"Allen, Oscar",15,86,44,46,18,8,66,41,18,8,76.0,,,,
"Kennedy, Josh",17,96,69,23,34,22, ,16,13,15,82.8,,,,
"Rotham, Josh",10,90,52,17, , , ,13,5,4,81.4,,,,
"Waterman, Jake",10,78,51,25,9,2, ,8,6,3,77.2,,,,
"Brander, Jarrod",8,67,36,22, ,1, ,12,3,2,80.5,,,,
"Jetta, Lewis",6,62,22,24,1,2, ,16,1,4,85.2,,,,
"Ainsworth, Brayden",9,44,26,33,3,1, ,12,2,8,78.3,,,,
"ONeill, Xavier",5,25,9,24,1,1, ,9,1,1,66.4,,,,
"Petruccelle, Jack",6,22,9,20,2,5, ,7,2, ,70.0,,,,
"Cameron, Jarrod",5,16,5,8,2,1, ,11,2,9,64.0,,,,
"Hutchings, Mark",3,15,5,9, , , ,4, , ,59.0,,,,
"Schofield, Will",4,12,3,10, , , ,8,2,5,87.8,,,,
"Jones, Jamaine",2,13,5,8, ,1, ,8,4,2,79.0,,,,
"Reid, Nic",3,8,1,13,1,1, ,8,1,2,67.7,,,,
"Williams, Bailey",3,10,5,11,1,1,24,5,2,4,70.0,,,,
"Hickey, Tom",3,6,5,10, , ,42,3, ,2,58.0,,,,
"Brayshaw, Hamish",1,3,1,2, ,1, ,1,1, ,58.0,,,,
"Edwards, Harry",1,2, ,1, , , , , , ,26.0,,,,
"Foley, Luke",1,3,2, , , , ,1, , ,73.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Macrae, Jack",18,206,50,269,3,3,7,71,29,10,85.1,,,,
"Smith, Bailey",18,190,30,192,6,9, ,45,7,11,77.3,,,,
"Bontempelli, Marcus",18,211,59,164,11,7,1,88,15,23,86.2,,,,
"Daniel, Caleb",18,225,59,138,3,2, ,42,10,9,84.3,,,,
"Liberatore, Tom",16,150,31,182,5,3, ,57,12,20,79.8,,,,
"Williams, Bailey",18,202,82,96,3,2, ,24,12,9,84.2,,,,
"Johannisen, Jason",17,165,66,102,6,5, ,29,7,3,81.9,,,,
"Hunter, Lachie",10,137,54,116,4,8, ,24,11,6,87.2,,,,
"English, Tim",18,129,77,113,8,11,287,39,18,18,87.6,,,,
"Dunkley, Josh",12,85,28,134,6,5,12,71,10,9,80.3,,,,
"Lipinski, Patrick",13,90,32,121,5,4, ,30,6,7,80.7,,,,
"Crozier, Hayden",15,154,59,55,2,2, ,40,15,11,80.7,,,,
"Richards, Ed",17,93,24,90,6,7, ,34,12,10,78.7,,,,
"Keath, Alex",18,113,70,66,1,1, ,15,12,8,95.4,,,,
"Wallis, Mitch",18,83,42,83,25,14, ,32,20,7,81.6,,,,
"McLean, Toby",12,57,16,108,6,4, ,45,13,10,76.7,,,,
"Bruce, Josh",17,55,47,81,14,8,19,28,10,15,87.8,,,,
"Wood, Easton",13,79,50,45, , , ,19,7,8,77.9,,,,
"Cordy, Zaine",14,86,40,32, , ,5,20,8,5,89.6,,,,
"Vandermeer, Laitham",12,72,31,45,9,9, ,26,7,11,69.8,,,,
"Naughton, Aaron",12,46,42,38,15,6, ,9,4,6,76.7,,,,
"Dale, Bailey",9,48,20,35,7,3, ,13,6,5,79.4,,,,
"Lloyd, Sam",9,47,26,30,7,5, ,20,8,4,75.1,,,,
"Gardner, Ryan",10,41,27,35, , , ,13, ,10,95.2,,,,
"Smith, Roarke",6,29,12,41,2,1, ,8,2,2,77.0,,,,
"Suckling, Matt",7,47,26,22,3, , ,2,7,6,65.6,,,,
"West, Rhylee",4,23,12,25,1, , ,7,3,4,79.3,,,,
"Duryea, Taylor",3,35,13,12, , , ,9,2, ,79.3,,,,
"Jong, Lin",3,12,10,29, ,1,1,9,2,5,71.7,,,,
"Butler, Louis",2,24,6,6, ,1, ,1, ,2,83.0,,,,
"Cavarra, Ben",3,15,5,10,4,3, ,8,1,2,72.0,,,,
"Gowers, Billy",3,12,3,9, ,2, ,3,1,4,74.0,,,,
"Hayes, Will",2,7,2,13, , , ,6, ,1,70.5,,,,
"Weightman, Cody",3,11,4,7,3,1, ,4,3,2,70.7,,,,
"Young, Lachie",2,11,2,7,1, , ,4,1, ,82.0,,,,
"Schache, Josh",2,8,3,5,2, , , ,1,1,75.0,,,,
"Porter, Callum",1,4, ,5, , , ,4,1,3,56.0,,,,
"Trengove, Jackson",1,2,1,6, , ,3,4,2,1,68.0,,,,
"Dickson, Tory",1, , ,4, , , ,1,1, ,83.0,,,,
"Young, Lewis",1,3,3,1, ,1,1, , ,3,69.0,,,,
